iter	Accuracy	MultiClass
0	0.6340625	2.016231998
1	0.7165625	1.964074067
2	0.7096875	1.913231718
3	0.7421875	1.866522329
4	0.7428125	1.828688653
5	0.755	1.788235867
6	0.78125	1.75040028
7	0.7846875	1.715033206
8	0.7859375	1.676220838
9	0.78875	1.639253567
10	0.8009375	1.608706627
11	0.8028125	1.575914355
12	0.81125	1.545964942
13	0.8159375	1.516009985
14	0.816875	1.490374138
15	0.8178125	1.46195481
16	0.8228125	1.43577317
17	0.829375	1.410606754
18	0.8315625	1.383069929
19	0.840625	1.359553957
20	0.8478125	1.336449628
21	0.856875	1.316533934
22	0.86125	1.293704859
23	0.864375	1.272880447
24	0.86875	1.252709498
25	0.8696875	1.234588289
26	0.87375	1.214075023
27	0.874375	1.193560743
28	0.8778125	1.174934649
29	0.879375	1.156823827
30	0.8846875	1.140187818
31	0.8859375	1.123413943
32	0.8903125	1.108020146
33	0.89625	1.09171284
34	0.8975	1.075302577
35	0.9009375	1.060868424
36	0.90375	1.04522848
37	0.905	1.030940873
38	0.90875	1.016213572
39	0.9096875	1.001533089
40	0.911875	0.9869814116
41	0.9159375	0.9729321529
42	0.920625	0.9601734494
43	0.9203125	0.9470318493
44	0.923125	0.9341963282
45	0.9253125	0.9217356249
46	0.925	0.909107169
47	0.9271875	0.8970542584
48	0.9290625	0.8855234581
49	0.93	0.8738600334
50	0.93	0.8623116066
51	0.9321875	0.8517891206
52	0.933125	0.84160998
53	0.9346875	0.8309983166
54	0.935	0.8205173679
55	0.9346875	0.8108982241
56	0.9365625	0.7996700402
57	0.939375	0.7893527635
58	0.9384375	0.7798774369
59	0.939375	0.7704889258
60	0.9425	0.7607093305
61	0.94375	0.751597897
62	0.945	0.7423417995
63	0.94625	0.7337012756
64	0.949375	0.7243830941
65	0.951875	0.7157804714
66	0.9515625	0.7071636035
67	0.95375	0.6994743289
68	0.9540625	0.6904175696
69	0.9546875	0.6818106996
70	0.9559375	0.6744225185
71	0.9584375	0.6668664056
72	0.959375	0.6599309104
73	0.96	0.6520525489
74	0.961875	0.6448249627
75	0.9625	0.6365974897
76	0.9640625	0.6298337693
77	0.965	0.6226682717
78	0.9665625	0.615782744
79	0.9678125	0.6089258344
80	0.968125	0.6025484003
81	0.969375	0.5952054693
82	0.9703125	0.5890228477
83	0.97	0.5823796759
84	0.9703125	0.5756912275
85	0.971875	0.5694079507
86	0.9725	0.5624626916
87	0.973125	0.5566566859
88	0.975	0.5502241447
89	0.9759375	0.5439230732
90	0.976875	0.5379978565
91	0.9775	0.5323633137
92	0.978125	0.5265643923
93	0.9784375	0.520987132
94	0.97875	0.5157460542
95	0.98	0.5100446222
96	0.9796875	0.5052161732
97	0.9809375	0.4999634406
98	0.9815625	0.4952577055
99	0.9825	0.4903133272
100	0.9825	0.4861503076
101	0.9825	0.4811404723
102	0.9834375	0.4763924006
103	0.98375	0.470871784
104	0.98375	0.4669631007
105	0.98375	0.462548274
106	0.9846875	0.4587863957
107	0.9853125	0.4539860753
108	0.985625	0.4499766224
109	0.985625	0.4455261325
110	0.98625	0.4410516274
111	0.9865625	0.4370847977
112	0.988125	0.4326902517
113	0.988125	0.4292172431
114	0.9884375	0.4246915886
115	0.98875	0.4208020376
116	0.9890625	0.4164543683
117	0.989375	0.4122359322
118	0.9896875	0.4087676625
119	0.99	0.4047986953
120	0.990625	0.4011433137
121	0.990625	0.3978017879
122	0.9903125	0.3947261915
123	0.99125	0.3908866687
124	0.99125	0.3872981379
125	0.991875	0.3841375492
126	0.9925	0.3805165111
127	0.9928125	0.3772016239
128	0.993125	0.3746954889
129	0.9934375	0.3712331732
130	0.99375	0.3685476647
131	0.994375	0.3650302513
132	0.994375	0.3618306588
133	0.9946875	0.358667136
134	0.994375	0.3561461999
135	0.9946875	0.3528111779
136	0.9946875	0.3494197376
137	0.9946875	0.3460332299
138	0.995	0.3431156819
139	0.9953125	0.3401850808
140	0.995625	0.3373357694
141	0.995625	0.3346946854
142	0.9959375	0.3316584404
143	0.9959375	0.3291153201
144	0.99625	0.3270089335
145	0.99625	0.324743525
146	0.9959375	0.3220131269
147	0.99625	0.3193148639
148	0.9965625	0.3169497947
149	0.99625	0.3143066014
150	0.9965625	0.3119193323
151	0.9965625	0.3094754478
152	0.996875	0.3073011447
153	0.9965625	0.305216196
154	0.9965625	0.3028037518
155	0.9965625	0.30038177
156	0.9965625	0.298009496
157	0.996875	0.2962982561
158	0.9971875	0.2939687812
159	0.9971875	0.2917368369
160	0.9971875	0.2891622343
161	0.9971875	0.2870243191
162	0.9971875	0.2857074174
163	0.9975	0.2837947592
164	0.998125	0.2813607522
165	0.9984375	0.2793630203
166	0.99875	0.2769552019
167	0.99875	0.2750569635
168	0.99875	0.2730708778
169	0.99875	0.2715998768
170	0.99875	0.2700555067
171	0.9990625	0.2681561374
172	0.9990625	0.2659929453
173	0.9990625	0.2638759703
174	0.9990625	0.2620363711
175	0.9990625	0.2602223778
176	0.9990625	0.2583828612
177	0.9990625	0.2567751812
178	0.9990625	0.2554752502
179	0.9990625	0.2536154267
180	0.9990625	0.2519691627
181	0.9990625	0.2506131729
182	0.9990625	0.2490908068
183	0.999375	0.2477358276
184	0.9990625	0.2462368368
185	0.999375	0.2446093234
186	0.999375	0.2427862495
187	0.999375	0.2411541456
188	0.999375	0.2394542607
189	0.999375	0.2376782874
190	0.999375	0.2360201729
191	0.999375	0.2342455722
192	0.999375	0.2325814825
193	0.999375	0.2310957278
194	0.999375	0.2295315052
195	0.9996875	0.2279550834
196	0.9996875	0.2265712981
197	0.9996875	0.2250595616
198	0.9996875	0.2235374878
199	0.9996875	0.222127257
200	0.9996875	0.2206394996
201	0.9996875	0.2190208873
202	0.9996875	0.2174653836
203	1	0.2158584145
204	1	0.2144694757
205	1	0.2133227297
206	1	0.2117947074
207	1	0.2103803084
208	1	0.2091115586
209	1	0.2075820055
210	1	0.2061012892
211	1	0.2049088064
212	1	0.2038690327
213	1	0.2025106497
214	1	0.2012894328
215	1	0.200053873
216	1	0.1987382666
217	1	0.1973849315
218	1	0.1962561183
219	1	0.1949746581
220	1	0.1938516444
221	1	0.1926112051
222	1	0.1912525339
223	1	0.1901852704
224	1	0.1893205419
225	1	0.1883183386
226	1	0.187209905
227	1	0.1862771721
228	1	0.1852655133
229	1	0.1840575693
230	1	0.182863155
231	1	0.1818909505
232	1	0.1809923105
233	1	0.1805391349
234	1	0.1794979102
235	1	0.1786318617
236	1	0.1776585884
237	1	0.1768104734
238	1	0.1757980133
239	1	0.1747436556
240	1	0.1737713565
241	1	0.1731046079
242	1	0.1720703236
243	1	0.1712180327
244	1	0.1703516093
245	1	0.169419583
246	1	0.1683887956
247	1	0.167435062
248	1	0.1666437802
249	1	0.1660057011
250	1	0.164979834
251	1	0.1640611749
252	1	0.1630719033
253	1	0.1622569335
254	1	0.1616882864
255	1	0.1612044383
256	1	0.1605908628
257	1	0.159922182
258	1	0.1596858819
259	1	0.1588301791
260	1	0.1579574731
261	1	0.1570926523
262	1	0.1563746269
263	1	0.1556524472
264	1	0.1548793521
265	1	0.1540755757
266	1	0.1534674857
267	1	0.1526105578
268	1	0.151827566
269	1	0.1510497574
270	1	0.1502560329
271	1	0.1495093598
272	1	0.1489561026
273	1	0.1482341746
274	1	0.1475025048
275	1	0.1469117314
276	1	0.1461159887
277	1	0.1453808368
278	1	0.1446500849
279	1	0.1440189679
280	1	0.1432573412
281	1	0.1426288739
282	1	0.142122936
283	1	0.1413921263
284	1	0.1405978744
285	1	0.1398980849
286	1	0.1392877254
287	1	0.1386352519
288	1	0.1379973003
289	1	0.1372997223
290	1	0.1366972784
291	1	0.136063863
292	1	0.1354384686
293	1	0.1349560399
294	1	0.134253462
295	1	0.1336854899
296	1	0.1330117526
297	1	0.1323445359
298	1	0.1317908859
299	1	0.1312106069
300	1	0.1307111136
301	1	0.130185245
302	1	0.129593433
303	1	0.1290189258
304	1	0.1285045367
305	1	0.1279439979
306	1	0.1274743567
307	1	0.1270871481
308	1	0.1265580916
309	1	0.1260612012
310	1	0.1254252709
311	1	0.1249335762
312	1	0.1244406155
313	1	0.1237990406
314	1	0.1231549983
315	1	0.1227157267
316	1	0.1221540527
317	1	0.1216315394
318	1	0.1210887124
319	1	0.1205313763
320	1	0.1200369019
321	1	0.1195232259
322	1	0.1190824437
323	1	0.1186273231
324	1	0.1181787597
325	1	0.1177899857
326	1	0.1172345461
327	1	0.1168382463
328	1	0.1163170133
329	1	0.1158094196
330	1	0.1153252077
331	1	0.1149319789
332	1	0.1145461317
333	1	0.1140410151
334	1	0.1136069387
335	1	0.1132299855
336	1	0.1128727946
337	1	0.1124633121
338	1	0.1119720569
339	1	0.1114682708
340	1	0.111052631
341	1	0.1105700977
342	1	0.1101243619
343	1	0.1096937221
344	1	0.109294962
345	1	0.1089246711
346	1	0.1084416874
347	1	0.1080403182
348	1	0.1076381186
349	1	0.1072414154
350	1	0.106790855
351	1	0.1063914171
352	1	0.105950434
353	1	0.1054966744
354	1	0.1050935937
355	1	0.104734284
356	1	0.1043483129
357	1	0.1040081459
358	1	0.1036033003
359	1	0.1033131735
360	1	0.1028924532
361	1	0.1025031385
362	1	0.1020629671
363	1	0.1016387889
364	1	0.1013065423
365	1	0.1009522713
366	1	0.100597959
367	1	0.1002492949
368	1	0.09990155169
369	1	0.09955340125
370	1	0.09919717802
371	1	0.09886743736
372	1	0.09852876547
373	1	0.09819085229
374	1	0.09782270671
375	1	0.09742807184
376	1	0.09710131537
377	1	0.09670990585
378	1	0.09633387965
379	1	0.09601270222
380	1	0.09568522739
381	1	0.09542265225
382	1	0.09505570476
383	1	0.09475781312
384	1	0.09442908909
385	1	0.09415060191
386	1	0.09378982962
387	1	0.09346826063
388	1	0.09313350746
389	1	0.09284414896
390	1	0.09248221937
391	1	0.0921557097
392	1	0.09201962962
393	1	0.09168032998
394	1	0.09136140056
395	1	0.09108400812
396	1	0.09077380948
397	1	0.09044551328
398	1	0.09008894237
399	1	0.08975661189
400	1	0.08944146777
401	1	0.08915186913
402	1	0.08886021703
403	1	0.0885206022
404	1	0.08820119115
405	1	0.08790327866
406	1	0.08761575598
407	1	0.08731817966
408	1	0.0871788183
409	1	0.08687214567
410	1	0.08657023542
411	1	0.08629672095
412	1	0.08600180767
413	1	0.0857180421
414	1	0.08539538391
415	1	0.08509347375
416	1	0.08480082534
417	1	0.08457420087
418	1	0.08436377178
419	1	0.08406631682
420	1	0.08396750722
421	1	0.08369415173
422	1	0.08341000636
423	1	0.08316558574
424	1	0.08288556788
425	1	0.08259634812
426	1	0.08234558401
427	1	0.08205737111
428	1	0.08179823447
429	1	0.08156947593
430	1	0.08131933804
431	1	0.08110682178
432	1	0.08086573341
433	1	0.08063765632
434	1	0.08039951482
435	1	0.08020321992
436	1	0.07997222313
437	1	0.07972772577
438	1	0.07949472334
439	1	0.0792599241
440	1	0.07912668536
441	1	0.07903600314
442	1	0.07877834027
443	1	0.07850760453
444	1	0.07828413823
445	1	0.0780597594
446	1	0.07781511391
447	1	0.07756080833
448	1	0.07732156262
449	1	0.0770894706
450	1	0.07685734491
451	1	0.0766284544
452	1	0.07644606945
453	1	0.07626797729
454	1	0.07600786026
455	1	0.07578260425
456	1	0.07560752521
457	1	0.07540517753
458	1	0.0752054667
459	1	0.07495463202
460	1	0.07471664423
461	1	0.07448079481
462	1	0.07429286335
463	1	0.07408310258
464	1	0.073870215
465	1	0.07367143751
466	1	0.07347675129
467	1	0.07333510673
468	1	0.07313440171
469	1	0.07297994827
470	1	0.07275711202
471	1	0.07259828747
472	1	0.07238940073
473	1	0.07215685152
474	1	0.07193431877
475	1	0.07171964923
476	1	0.07150681507
477	1	0.07134380185
478	1	0.07113703627
479	1	0.07091981436
480	1	0.07072114141
481	1	0.07052382074
482	1	0.07036931667
483	1	0.07016627148
484	1	0.07000322266
485	1	0.06981673205
486	1	0.06962631242
487	1	0.0694147146
488	1	0.06922119854
489	1	0.06898995256
490	1	0.06880540612
491	1	0.06862107145
492	1	0.06847934888
493	1	0.06830188743
494	1	0.06808663913
495	1	0.06789602098
496	1	0.06770399626
497	1	0.06755516611
498	1	0.06735457079
499	1	0.06717170162
500	1	0.06700079689
501	1	0.06687112251
502	1	0.06668749849
503	1	0.06652586324
504	1	0.06638702808
505	1	0.06620185965
506	1	0.06603909079
507	1	0.06587628985
508	1	0.06574611788
509	1	0.06556304499
510	1	0.06540521548
511	1	0.06522616752
512	1	0.06507371796
513	1	0.06490662645
514	1	0.06476242525
515	1	0.06459487315
516	1	0.06440799522
517	1	0.06422616065
518	1	0.06403601274
519	1	0.06387195585
520	1	0.06369016891
521	1	0.06356197623
522	1	0.06340001
523	1	0.06323897429
524	1	0.06306721571
525	1	0.06288615585
526	1	0.06274427306
527	1	0.06257936393
528	1	0.06244875088
529	1	0.06228241161
530	1	0.06210318667
531	1	0.06196736115
532	1	0.06180335339
533	1	0.06164256345
534	1	0.06147728819
535	1	0.06132124611
536	1	0.06115409516
537	1	0.06099351888
538	1	0.06086181594
539	1	0.06071269188
540	1	0.0605785332
541	1	0.06043869632
542	1	0.06027720798
543	1	0.0601538743
544	1	0.05999651423
545	1	0.05984228628
546	1	0.05975350842
547	1	0.05959449698
548	1	0.05945640266
549	1	0.05929807784
550	1	0.05915203136
551	1	0.05903398405
552	1	0.05889151103
553	1	0.05876490635
554	1	0.05862184824
555	1	0.05847718652
556	1	0.05831476867
557	1	0.05815809101
558	1	0.05804197388
559	1	0.05792411308
560	1	0.05777949431
561	1	0.05764272891
562	1	0.05751073675
563	1	0.057380896
564	1	0.05724470458
565	1	0.05709443289
566	1	0.05696208345
567	1	0.05681155581
568	1	0.05668297352
569	1	0.05655978456
570	1	0.0564195023
571	1	0.05629020417
572	1	0.05616830008
573	1	0.05610969611
574	1	0.05598326697
575	1	0.05584142425
576	1	0.0557016523
577	1	0.05560077783
578	1	0.05547031295
579	1	0.05533996096
580	1	0.05521336929
581	1	0.05509317141
582	1	0.05495354967
583	1	0.05481887104
584	1	0.0547107305
585	1	0.05457908973
586	1	0.05445776944
587	1	0.05432184429
588	1	0.05419818946
589	1	0.05406893916
590	1	0.05393524662
591	1	0.05380095502
592	1	0.05370393744
593	1	0.05359238124
594	1	0.05347507822
595	1	0.05334772486
596	1	0.05321752133
597	1	0.05315135477
598	1	0.05303986205
599	1	0.05290673993
600	1	0.052791307
601	1	0.05267240478
602	1	0.05256826973
603	1	0.05245720001
604	1	0.05235333861
605	1	0.05223268554
606	1	0.0521282684
607	1	0.05200892157
608	1	0.05189311162
609	1	0.05178368684
610	1	0.05167355356
611	1	0.05164012651
612	1	0.05153098036
613	1	0.05143804046
614	1	0.05132817359
615	1	0.05121592443
616	1	0.05109844481
617	1	0.05100494846
618	1	0.05088997277
619	1	0.05077423728
620	1	0.0506738034
621	1	0.05059071472
622	1	0.05050740939
623	1	0.0504083065
624	1	0.05029524461
625	1	0.05017806126
626	1	0.05006408452
627	1	0.04996238499
628	1	0.04988451513
629	1	0.04979462101
630	1	0.04968662699
631	1	0.04956734252
632	1	0.04949597226
633	1	0.04938323157
634	1	0.04930285305
635	1	0.04921905907
636	1	0.04910965236
637	1	0.04900022805
638	1	0.04890305595
639	1	0.04881381742
640	1	0.04872017064
641	1	0.04862537166
642	1	0.04854099623
643	1	0.04844548648
644	1	0.04833411129
645	1	0.04824475959
646	1	0.0481449861
647	1	0.04804352684
648	1	0.04794118359
649	1	0.0478376007
650	1	0.04773190372
651	1	0.04762938558
652	1	0.04752995937
653	1	0.04743655344
654	1	0.04736566166
655	1	0.04726601152
656	1	0.04718132833
657	1	0.0470869541
658	1	0.04701592955
659	1	0.04693864146
660	1	0.04683725623
661	1	0.04675107368
662	1	0.04666932107
663	1	0.04657619509
664	1	0.04648247068
665	1	0.04639035007
666	1	0.0462976383
667	1	0.04621594426
668	1	0.04612184015
669	1	0.04603963546
670	1	0.04594689258
671	1	0.04585864935
672	1	0.0457832845
673	1	0.04568413821
674	1	0.04559077386
675	1	0.04551427021
676	1	0.0454163692
677	1	0.04533267896
678	1	0.04523673832
679	1	0.04514703735
680	1	0.04506231572
681	1	0.04497838459
682	1	0.04489489514
683	1	0.04481307854
684	1	0.04471638332
685	1	0.04462465042
686	1	0.04454566715
687	1	0.04446746304
688	1	0.0443810051
689	1	0.04430019311
690	1	0.04423172399
691	1	0.04414163093
692	1	0.04406020242
693	1	0.04397976265
694	1	0.04388946643
695	1	0.04382732935
696	1	0.04373892644
697	1	0.0437062873
698	1	0.04362857833
