iter	Passed	Remaining
0	70	49062
1	79	27651
2	90	20934
3	100	17431
4	109	15235
5	119	13826
6	128	12678
7	136	11767
8	144	11105
9	153	10598
10	162	10169
11	170	9794
12	178	9447
13	187	9184
14	195	8916
15	202	8672
16	211	8485
17	219	8309
18	227	8156
19	236	8038
20	244	7911
21	252	7784
22	260	7667
23	268	7569
24	277	7495
25	285	7400
26	294	7344
27	302	7257
28	310	7181
29	318	7120
30	327	7059
31	335	6993
32	342	6926
33	350	6863
34	357	6800
35	365	6744
36	373	6697
37	381	6649
38	389	6599
39	396	6549
40	404	6506
41	412	6459
42	419	6415
43	427	6373
44	435	6333
45	442	6294
46	450	6256
47	457	6217
48	465	6183
49	473	6150
50	480	6114
51	487	6079
52	495	6048
53	503	6018
54	510	5985
55	518	5958
56	525	5933
57	533	5905
58	541	5879
59	548	5852
60	556	5828
61	563	5802
62	571	5777
63	579	5754
64	588	5745
65	596	5727
66	603	5705
67	611	5686
68	619	5669
69	627	5651
70	636	5635
71	643	5615
72	651	5593
73	658	5573
74	666	5555
75	674	5537
76	682	5519
77	689	5501
78	697	5481
79	705	5465
80	713	5448
81	720	5433
82	728	5415
83	735	5396
84	744	5383
85	751	5367
86	759	5351
87	767	5336
88	774	5319
89	782	5304
90	790	5289
91	798	5275
92	805	5260
93	813	5246
94	821	5229
95	828	5214
96	836	5198
97	844	5187
98	856	5200
99	864	5187
100	872	5173
101	880	5161
102	887	5146
103	895	5132
104	903	5118
105	910	5104
106	918	5091
107	926	5077
108	934	5066
109	942	5054
110	950	5041
111	957	5027
112	965	5014
113	973	5002
114	980	4989
115	988	4978
116	996	4965
117	1004	4952
118	1012	4941
119	1020	4931
120	1028	4920
121	1035	4907
122	1043	4894
123	1051	4882
124	1059	4872
125	1067	4860
126	1074	4849
127	1082	4836
128	1089	4824
129	1098	4814
130	1105	4803
131	1113	4790
132	1120	4778
133	1128	4768
134	1136	4757
135	1144	4747
136	1152	4736
137	1160	4725
138	1167	4712
139	1175	4701
140	1182	4689
141	1190	4679
142	1198	4667
143	1206	4657
144	1214	4646
